Player,Nation,Weekly Wage,,Yearly Salary,,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls_90,Ast_90,G+A_90,G-PK_90,G+A-PK_90,xG_90,xAG_90,xG+xAG_90,npxG_90,npxG+xAG_90,Team
Nathan Redmond,eng ENG,"£34,000",,"£1,768,000",,"FW,MF",29,12,0,142,1.6,0,0,0,0,0,0,1,0,0,0,0.3,0.3,7,8,22,0,0,0,0,0,0,0.19,0.19,0,0.19,Burnley
Nathaniel Clyne,eng ENG,"£29,000",,"£1,508,000",,DF,32,19,14,1338,14.9,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.4,10,33,18,0,0,0,0,0,0.01,0.01,0.03,0.01,0.03,Crystal Palace
Nayef Aguerd,ma MAR,"£64,000",,"£3,328,000",,DF,27,21,21,1857,20.6,1,0,1,1,0,0,3,1,1.5,1.5,0.3,1.8,10,68,3,0.05,0,0.05,0.05,0.05,0.07,0.01,0.09,0.07,0.09,West Ham United
Neal Maupay,fr FRA,"£49,000",,"£2,548,000",,FW,26,29,13,1321,14.7,6,3,9,6,0,0,8,0,5.7,5.7,2.3,8.1,21,37,91,0.41,0.2,0.61,0.41,0.61,0.39,0.16,0.55,0.39,0.55,Brentford
Neco Williams,wls WAL,"£39,000",,"£2,028,000",,DF,22,26,18,1637,18.2,0,1,1,0,0,0,4,0,0.8,0.8,1.6,2.5,48,47,86,0,0.05,0.05,0,0.05,0.04,0.09,0.13,0.04,0.13,Nottingham Forest
Neto,br BRA,"£100,000",,"£5,200,000",,GK,34,32,32,2880,32,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bournemouth
Nick Pope,eng ENG,"£100,000",,"£5,200,000",,GK,31,15,15,1345,14.9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Newcastle United
Nicolás Domínguez,ar ARG,"£39,000",,"£2,028,000",,"MF,FW",25,26,19,1495,16.6,2,2,4,2,0,0,4,0,1.3,1.3,1,2.3,14,91,43,0.12,0.12,0.24,0.12,0.24,0.08,0.06,0.14,0.08,0.14,Nottingham Forest
Nicolò Zaniolo,it ITA,"£56,000",,"£2,912,000",,"FW,MF",24,25,9,839,9.3,2,0,2,2,0,0,7,0,2.6,2.6,1,3.6,35,30,60,0.21,0,0.21,0.21,0.21,0.28,0.11,0.39,0.28,0.39,Aston Villa
Nicolas Jackson,sn SEN,"£120,000",,"£6,240,000",,FW,22,35,31,2799,31.1,14,5,19,14,0,0,10,0,18.6,18.6,4.3,22.9,70,67,200,0.45,0.16,0.61,0.45,0.61,0.6,0.14,0.74,0.6,0.74,Chelsea
Noni Madueke,eng ENG,"£100,000",,"£5,200,000",,FW,21,23,13,1053,11.7,5,2,7,4,1,1,2,0,2.5,1.7,2.6,4.3,76,52,136,0.43,0.17,0.6,0.34,0.51,0.21,0.23,0.44,0.14,0.37,Chelsea
Nuno Tavares,pt POR,"£29,000",,"£1,508,000",,DF,23,8,5,457,5.1,0,0,0,0,0,0,2,0,0.2,0.2,0.5,0.7,14,24,12,0,0,0,0,0,0.03,0.1,0.13,0.03,0.13,Nottingham Forest
Ola Aina,ng NGA,"£34,000",,"£1,768,000",,DF,26,22,20,1692,18.8,1,1,2,1,0,0,3,0,0.3,0.3,0.9,1.2,53,68,38,0.05,0.05,0.11,0.05,0.11,0.01,0.05,0.06,0.01,0.06,Nottingham Forest
Oleksandr Zinchenko,ua UKR,"£120,000",,"£6,240,000",,DF,26,27,20,1722,19.1,1,2,3,1,0,0,2,0,0.6,0.6,2.5,3.1,40,229,58,0.05,0.1,0.16,0.05,0.16,0.03,0.13,0.16,0.03,0.16,Arsenal
